name,latitude,longitude,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,winddir,sealevelpressure,cloudcover,visibility,severerisk,moonphase,conditions,description
mumbai,18.94,72.835,2018-01-01,31.3,19.3,25,32,19.3,25.1,16,58.9,0,0,0,,322.1,1010.3,0,2.5,,0.47,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-02,28.9,17.9,24.4,29.3,17.9,24.5,15.1,57.3,0,0,0,,319.8,1010,0,2.5,,0.5,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-03,30.6,19.1,25,31.5,19.1,25.3,18.9,70.3,0,0,0,,287.4,1011.3,0.4,2.1,,0.54,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-04,30.6,19.1,25.2,32,19.1,25.5,18.9,69.8,0,0,0,,324.2,1012.4,0.4,2,,0.57,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-05,30.7,20.7,25.2,31.7,20.7,25.4,17.6,64.3,0,0,0,,323.8,1011.3,0.4,2.7,,0.61,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-06,30.9,19.3,24.7,30.1,19.3,24.5,13.4,51.3,0,0,0,,337.6,1011.2,0.4,2.9,,0.64,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-07,28.9,17.6,23.6,27.9,17.6,23.4,11.4,47.5,0,0,0,,335.2,1012.5,0.4,3.4,,0.67,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-08,28.9,17.6,23.6,28.9,17.6,23.7,15.4,60.9,0,0,0,,309.9,1012.5,0.4,3,,0.71,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-09,31.6,19.4,25.4,32.7,19.4,25.7,17.8,64.4,0,0,0,,14.4,1013.6,0,2.5,,0.75,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-10,33.9,20.6,27,33.9,20.6,27.1,16.7,55.8,0,0,0,,42.4,1013.9,0.4,2.5,,0.77,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-11,33.9,22.7,28,34.8,22.7,28.2,15.9,48.9,0,0,0,,26.1,1013.4,1.2,2.9,,0.81,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-12,34.6,23.6,28.5,36.1,23.6,29.1,17.4,52.4,0,0,0,,70.9,1012.4,26.9,2.8,,0.84,Partially cloudy,Partly cloudy throughout the day.
mumbai,18.94,72.835,2018-01-13,35.3,22.8,28.6,36.8,22.8,29.7,18.6,56.5,0,0,0,,95,1012,31.9,2.6,,0.87,Partially cloudy,Partly cloudy throughout the day.
mumbai,18.94,72.835,2018-01-14,33,23.9,28.1,36.6,23.9,29.4,20.1,62.9,0,0,0,,315.7,1012.4,10.8,2.5,,0.91,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-15,34,23.4,28.7,38.1,23.4,30.4,20.6,62.6,0,0,0,,263.8,1012.3,15.6,2.5,,0.94,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-16,35.3,24.4,29.6,38.2,24.4,30.6,19,55,0,0,0,,51.5,1010.9,31.6,2.7,,0.97,Partially cloudy,Partly cloudy throughout the day.
mumbai,18.94,72.835,2018-01-17,33.9,23.6,28.7,35.3,23.6,29.3,18.2,54.8,0,0,0,,340.6,1011.3,4,3.6,,0,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-18,34.9,22.4,28.8,40,22.4,29.4,16.9,50.9,0,0,0,,9.5,1012.1,5.1,3.5,,0.04,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-19,33.6,21.5,27.3,35.8,21.5,27.6,14.8,47.6,0,0,0,,337.1,1013.1,1.6,3.7,,0.08,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-20,34,20.3,27.3,43.7,20.3,28.2,15.6,50.1,0,0,0,,33.9,1012.1,0.5,3.3,,0.11,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-21,33.3,20.4,27.3,34.9,20.4,27.5,15.7,51,0,0,0,,18.1,1010.6,0.4,3.2,,0.14,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-22,31.2,21.3,26.3,32.4,21.3,26.7,17.3,59.9,0,0,0,,300.6,1009.6,0.8,2.9,,0.18,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-23,29,21.6,24.7,29.3,21.6,24.8,17.6,66.5,0,0,0,,334.1,1010.9,11.5,3,,0.21,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-24,30,18.3,24.1,30.3,18.3,24.1,14.6,56.9,0,0,0,,350.7,1011.6,0.4,3.6,,0.25,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-25,31,18.7,25.1,30.7,18.7,25,14.8,54.4,0,0,0,,341.7,1010.7,1.2,3.2,,0.25,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-26,31,19.3,25.5,30.7,19.3,25.4,14,50.4,0,0,0,,341.8,1010.5,0.4,3.1,,0.32,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-27,30.3,19.4,25.3,29.8,19.4,25.1,13.2,48.7,0,0,0,,307,1010.7,2.8,4.1,,0.35,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-28,30.3,18.4,24.9,29.4,18.4,24.7,13.6,51.2,0,0,0,,327.5,1011.7,0.4,3.3,,0.39,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-29,32,19.4,25.9,35.7,19.4,26.4,16.3,56.8,0,0,0,,332,1012.5,0,2.7,,0.42,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-30,35.2,21.6,28.2,33.6,21.6,27.7,14.1,45.8,0,0,0,,39.7,1013,0,2.7,,0.46,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-01-31,35.9,20.6,28,34.3,20.6,27.7,12.6,42.3,0,0,0,,96.7,1013.3,0.4,3,,0.5,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-01,33,20.1,27,33.9,20.1,27.1,14.5,48.1,0,0,0,,307.2,1013.2,1.6,2.8,,0.52,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-02,32.6,20.5,27.1,35.1,20.5,27.6,16.7,54.5,0,0,0,,325.9,1011.8,0.4,2.8,,0.56,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-03,32.6,20.9,27.1,36.2,20.9,27.8,16.8,54.6,0,0,0,,325.5,1011.5,1.6,2.8,,0.59,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-04,33,21,27.3,34.6,21,27.8,15.8,50.5,0,0,0,,312.4,1011.3,3.6,3,,0.62,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-05,31.5,22.9,27,34.2,22.9,27.8,17.4,56.8,0,0,0,,305.1,1012.8,11.6,2.8,,0.65,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-06,34,22.1,27.4,35.1,22.1,28.1,18,58,0,0,0,,358.5,1013.3,34.6,2.1,,0.69,Partially cloudy,Partly cloudy throughout the day.
mumbai,18.94,72.835,2018-02-07,32.2,23.8,26.9,33.1,23.8,27.5,19.4,64.9,0,0,0,,288.1,1012.2,44.6,2.1,,0.75,Partially cloudy,Partly cloudy throughout the day.
mumbai,18.94,72.835,2018-02-08,32,21.8,26.1,34.3,21.8,26.7,20.1,71.6,0,0,0,,293.7,1012.2,9.4,2.3,,0.75,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-09,31.6,20.4,26.1,32.3,20.4,26,16.1,57.1,0,0,0,,348.2,1012.2,18.8,3.1,,0.78,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-10,29.9,20.4,25.5,30.5,20.4,25.5,14.6,52,0,0,0,,340.4,1012.7,41.1,3.8,,0.82,Partially cloudy,Partly cloudy throughout the day.
mumbai,18.94,72.835,2018-02-11,28.9,20.8,24.9,30.9,20.8,25.4,18.3,67,0,0,0,,327.8,1013.2,24.1,4.4,,0.85,Partially cloudy,Partly cloudy throughout the day.
mumbai,18.94,72.835,2018-02-12,28.6,19.6,24.3,29,19.6,24.4,16.9,64.8,0,0,0,,318.7,1015.5,18.4,3.7,,0.88,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-13,30.6,19.1,25.2,33.2,19.1,25.6,17,61.2,0,0,0,,340.1,1016.6,4.3,3.4,,0.91,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-14,35.6,20.1,28.3,37.9,20.1,29.4,17.7,53.9,0,0,0,,58,1015.4,7.5,3.4,,0.95,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-15,34.9,26.4,30,36.4,26.4,30.8,17.3,46.8,0,0,0,,34,1015.9,11.2,3.4,,0.98,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-16,34.5,23.4,29.2,36.3,23.4,29.6,17,49.7,0,0,0,,327.1,1015.4,2,3.1,,0,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-17,33.6,23.3,29,37.6,23.3,29.1,15.1,45,0,0,0,,326.6,1012.3,0.8,3.1,,0.05,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-18,33.6,21.7,28.2,34.8,21.7,28.1,13.4,41.4,0,0,0,,333.4,1010.3,0,3.3,,0.08,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-19,34.6,21.7,28.1,36.5,21.7,28.6,15.7,48.5,0,0,0,,319.8,1010.3,8.2,2.8,,0.12,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-20,33.3,22.4,27.6,36.1,22.4,28.7,19.3,61.6,0,0,0,,303.7,1010.6,0.8,2.4,,0.16,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-21,32.2,22.1,28.1,33.6,22.1,28.2,17.3,54.6,0,0,0,,336.2,1009.4,0.8,2.7,,0.19,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-22,33.1,21.7,28.6,34.1,21.7,29,17,51.6,0,0,0,,302.2,1008.7,0.8,2.6,,0.23,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-23,33.2,23.6,28.3,36.9,23.6,29.6,20,63,0,0,0,,298.2,1009.3,1.5,2.6,,0.25,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-24,35,22.7,29.5,36.7,22.7,29.9,16.4,46.9,0,0,0,,322.3,1011,9.1,2.9,,0.3,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-25,37.2,24.1,30.8,39.7,24.1,31.2,16.2,43.3,0,0,0,,323.7,1011.5,0.8,3.1,,0.33,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-26,36.3,24.9,30.6,37.7,24.9,30.9,16.2,43.6,0,0,0,,283.7,1010.9,0.8,2.9,,0.37,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-27,38,24.1,30.8,38.6,24.1,30.9,14.9,40.1,0,0,0,,275.9,1009.9,6.9,3,,0.4,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-02-28,37.3,24.6,30.6,46,24.6,31.7,17,45.3,0,0,0,,261.2,1009.6,0.8,2.4,,0.44,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-03-01,33,23.4,28.9,39,23.4,30.3,18.6,55.3,0,0,0,,254.5,1009.4,3.1,2.2,,0.47,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-03-02,32.5,24.7,29,36,24.7,30.6,20.6,61.7,0,0,0,,291.7,1009.1,7.7,2.1,,0.5,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-03-03,34.7,25.1,29.1,37.9,25.1,31.1,21.6,66.1,0,0,0,,301.4,1008.6,7.1,2.6,,0.54,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-03-04,31.9,25.3,28.5,40.4,25.3,31.4,22.5,70.6,0,0,0,,254.6,1008.9,17.6,2.8,,0.57,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-03-05,32.7,23.8,28.4,34.9,23.8,29.5,19.2,58.6,0,0,0,,314,1010,4,3.1,,0.6,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-03-06,33.7,25.4,29.6,36.1,25.4,30.2,18.2,52.3,0,0,0,,328.1,1009.7,12.7,3.5,,0.64,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-03-07,31.7,26.4,28.7,35.1,26.4,30.3,20,60.3,0,0,0,,298.2,1009.4,38.7,3.4,,0.67,Partially cloudy,Partly cloudy throughout the day.
mumbai,18.94,72.835,2018-03-08,30.7,23.3,27.3,33.5,23.3,28.4,20.1,65.6,0,0,0,,294.2,1010.3,6.6,3.3,,0.7,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-03-09,34,22.9,28.6,34.5,22.9,28.9,16,47.8,0,0,0,,330.2,1010.5,7,3.9,,0.75,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-03-10,32.7,24.8,28.6,36.7,24.8,30.4,20.7,62.8,0,0,0,,319.1,1010.1,21.8,3.3,,0.77,Partially cloudy,Partly cloudy throughout the day.
mumbai,18.94,72.835,2018-03-11,38,25,30.9,41.2,25,31.4,16.6,46.5,0,0,0,,347.1,1010.2,23.8,3.1,,0.8,Partially cloudy,Partly cloudy throughout the day.
mumbai,18.94,72.835,2018-03-12,37.7,24.5,30.5,36.9,24.5,30.3,14.7,40.6,0,0,0,,339,1010.4,8.2,3.2,,0.83,Clear,Clear conditions throughout the day.
mumbai,18.94,72.835,2018-03-13,35.4,26.2,31.1,35,26.2,29.9,9.6,28.6,0,0,0,,333.2,1010.3,31.1,3.7,,0.86,Partially cloudy,Partly cloudy throughout the day.
mumbai,18.94,72.835,2018-03-14,37.3,26.8,31.2,34.6,27.4,30.3,10.9,32.5,0,0,0,,343.2,1009.9,44.9,4.2,,0.89,Partially cloudy,Partly cloudy throughout the day.
mumbai,18.94,72.835,2018-03-15,29.7,26,28.1,31.3,26,29.1,18.7,57.3,0,0,0,,341.6,1010.2,71.3,3.4,,0.93,Partially cloudy,Partly cloudy throughout the day.
